emotion,title,artist,link,language
Happy,Happy - Pharrell Williams,Pharrell Williams,https://youtu.be/ZbZSe6N_BXs?si=P1YIqPGE4DyJrJ6T,English
Happy,Uptown Funk,Mark Ronson ft. Bruno Mars,https://youtu.be/OPf0YbXqDm0?si=4EVpt04MY1KZwRL9,English
Happy,Dancing Queen,ABBA,https://youtu.be/xFrGuyw1V8s?si=0KTRQniuObK-I_4C,English
Happy,Here Comes The Sun,The Beatles,https://youtu.be/KQetemT1sWc?si=UWnGLFv3Xva-Pa1L,English
Happy,Lovely Day,Bill Withers,https://youtu.be/bEeaS6fuUoA?si=qX4PugSJZN5JP1nh,English
Happy,Feeling Good,Michael Buble,https://youtu.be/Edwsf-8F3sI?si=-lTWOQnPOCh6swFx,English
,,,,
Sad,Someone Like You,Adele,https://youtu.be/hLQl3WQQoQ0?si=-shCWmoRLaC0etsS,English
Sad,Fix You,Coldplay,https://youtu.be/k4V3Mo61fJM?si=8c7PPvi4mtinK-cj,English
Sad,Un-Break My Heart,Toni Braxton,https://youtu.be/p2Rch6WvPJE?si=VoJmwn4O7Eq6d01I,English
Sad,All I Want,Kodaline,https://youtu.be/mtf7hC17IBM?si=HdCSrCzPbu6md0Ev,English
Sad,The Night We Met,Lord Huron,https://youtu.be/KtlgYxa6BMU?si=bWulwQgrEm_xe4mg,English
Sad,Glimpse of Us,Joji,https://youtu.be/FvOpPeKSf_4?si=4KBzX6xeQPGgx0yY,English
,,,,
Angry,Believer,Imagine Dragons,https://www.youtube.com/watch?v=7wtfhZwyrcc,English
Angry,Lose Yourself,Eminem,https://youtu.be/xFYQQPAOz7Y?si=cgVRs-oAXJKdEhgV,English
Angry,Smells Like Teen Spirit,Nirvana,https://youtu.be/hTWKbfoikeg?si=Cs7d4tC0LUwO3cUO,English
Angry,Bad Reputation,Joan Jett,https://youtu.be/pSOQwNgawV4?si=uRoHwNpn-JwKSZdo,English
Angry,You Oughta Know,Alanis Morissette,https://youtu.be/NPcyTyilmYY?si=MXke1Sd2neKFWBZs,English
Angry,Manchild,Sabrina Carpenter,https://youtu.be/aSugSGCC12I?si=kd-XK3iSD_uHstWo,English
,,,,
Relaxed,Perfect,Ed Sheeran,https://youtu.be/2Vv-BfVoq4g?si=nbd-biYo2i4yhoMr,English
Relaxed,Ocean Eyes,Billie Eilish,https://youtu.be/viimfQi_pUw?si=4wWu8BALEPlBl1tu,English
Relaxed,Let it Be,The Beatles,https://youtu.be/CGj85pVzRJs?si=qD5PTcytZ1wNWkvD,English
Relaxed,As It Was,Harry Styles,https://youtu.be/H5v3kku4y6Q?si=_a5boLcZhZch7du5,English
Relaxed,Your Song,Elton John,https://youtu.be/GlPlfCy1urI?si=pT6g0mPVx-aa7EN1,English
,,,,
Happy,Ullaalla,Anirudh Ravichander,https://youtu.be/oLgzs8nut3A?si=UWfABSORSZbyxTin,Tamil
Happy,Osaka Osaka ,Anirudh Ravichander,https://youtu.be/Ml5smnK5Taw?si=uHHjWILZXdcbt6Rm,Tamil
Happy,Selfie Pulla ,Anirudh Ravichander,https://youtu.be/xZ92nnR1Pt8?si=lqv3kP9_R8YHP1lB,Tamil
Happy,,,,Tamil
Happy,,,,Tamil
Happy,,,,Tamil
Happy,,,,Tamil
Happy,,,,Tamil
Happy,,,,Tamil
Happy,,,,Tamil
Happy,,,,Tamil
,,,,
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
Sad,,,,Tamil
,,,,
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
Angry,,,,Tamil
,,,,
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
Relaxed,,,,Tamil
,,,,
,,,,
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
Happy,,,,Hindi
